iter	Passed	Remaining
0	63	63638
1	72	36167
2	81	27114
3	87	21720
4	90	17917
5	93	15564
6	96	13752
7	100	12426
8	107	11799
9	110	10907
10	113	10198
11	116	9552
12	118	8994
13	120	8512
14	123	8083
15	125	7715
16	127	7373
17	129	7069
18	131	6798
19	133	6563
20	136	6345
21	138	6134
22	140	5953
23	142	5779
24	144	5631
25	146	5482
26	148	5364
27	150	5236
28	153	5125
29	155	5012
30	156	4902
31	159	4811
32	161	4726
33	163	4639
34	165	4553
35	167	4480
36	169	4416
37	171	4345
38	173	4284
39	175	4219
40	177	4160
41	179	4099
42	182	4053
43	184	4014
44	186	3962
45	188	3912
46	190	3864
47	192	3822
48	194	3775
49	196	3737
50	198	3695
51	200	3663
52	202	3625
53	204	3585
54	206	3551
55	208	3516
56	210	3478
57	212	3448
58	214	3414
59	216	3388
60	218	3360
61	220	3334
62	222	3308
63	224	3279
64	226	3251
65	227	3224
66	229	3200
67	231	3174
68	233	3149
69	235	3129
70	237	3106
71	239	3086
72	241	3068
73	243	3049
74	245	3028
75	247	3008
76	249	2991
77	252	2986
78	254	2970
79	256	2952
80	259	2942
81	261	2929
82	263	2911
83	266	2900
84	268	2885
85	270	2871
86	272	2860
87	274	2847
88	276	2831
89	278	2816
90	280	2805
91	282	2790
92	284	2777
93	287	2767
94	289	2755
95	291	2741
96	292	2726
97	294	2712
98	297	2703
99	298	2690
100	300	2678
101	302	2665
102	304	2652
103	306	2639
104	308	2628
105	310	2615
106	312	2605
107	315	2602
108	316	2590
109	318	2580
110	320	2568
111	322	2558
112	324	2546
113	326	2536
114	328	2528
115	330	2522
116	332	2512
117	334	2502
118	336	2491
119	338	2481
120	340	2473
121	342	2463
122	344	2454
123	346	2448
124	348	2439
125	350	2430
126	352	2421
127	354	2412
128	356	2407
129	358	2402
130	361	2394
131	362	2386
132	364	2377
133	366	2369
134	368	2361
135	370	2354
136	372	2346
137	374	2339
138	376	2332
139	378	2327
140	380	2319
141	382	2312
142	384	2306
143	386	2300
144	388	2291
145	390	2284
146	392	2278
147	394	2272
148	396	2264
149	398	2256
150	401	2255
151	403	2248
152	404	2241
153	406	2234
154	409	2229
155	411	2226
156	413	2219
157	415	2215
158	417	2209
159	419	2202
160	421	2195
161	423	2189
162	425	2182
163	427	2177
164	429	2172
165	431	2168
166	433	2164
167	435	2157
168	437	2151
169	439	2148
170	441	2141
171	444	2139
172	446	2135
173	448	2129
174	450	2125
175	452	2120
176	455	2118
177	458	2115
178	459	2109
179	461	2104
180	464	2102
181	466	2098
182	468	2092
183	471	2089
184	473	2084
185	475	2082
186	478	2079
187	480	2074
188	482	2069
189	484	2063
190	486	2059
191	488	2054
192	490	2050
193	493	2048
194	494	2043
195	496	2037
196	498	2032
197	500	2027
198	502	2023
199	504	2018
200	506	2014
201	510	2015
202	514	2020
203	516	2016
204	518	2011
205	520	2006
206	522	2003
207	525	2000
208	527	1995
209	529	1992
210	531	1986
211	533	1982
212	535	1978
213	537	1974
214	540	1975
215	542	1970
216	544	1965
217	546	1960
218	548	1957
219	551	1954
220	553	1950
221	554	1944
222	557	1943
223	559	1938
224	561	1933
225	563	1929
226	565	1924
227	567	1920
228	569	1917
229	571	1914
230	573	1910
231	575	1905
232	577	1901
233	579	1896
234	581	1892
235	583	1887
236	585	1883
237	587	1881
238	589	1878
239	591	1874
240	594	1870
241	596	1867
242	597	1862
243	599	1858
244	601	1854
245	604	1853
246	606	1848
247	608	1845
248	610	1841
249	612	1837
250	614	1833
251	616	1829
252	618	1825
253	620	1821
254	622	1818
255	624	1814
256	626	1810
257	628	1807
258	630	1803
259	632	1799
260	634	1795
261	636	1791
262	638	1787
263	639	1783
264	641	1780
265	643	1775
266	645	1772
267	647	1768
268	649	1764
269	651	1761
270	653	1758
271	655	1754
272	657	1751
273	659	1747
274	661	1744
275	663	1739
276	665	1735
277	667	1732
278	669	1729
279	671	1725
280	673	1722
281	674	1718
282	677	1716
283	679	1713
284	681	1709
285	683	1705
286	685	1702
287	687	1699
288	689	1695
289	691	1692
290	692	1688
291	695	1685
292	696	1681
293	698	1677
294	700	1674
295	703	1672
296	705	1669
297	707	1666
298	709	1662
299	710	1658
300	712	1654
301	714	1651
302	716	1648
303	718	1645
304	720	1641
305	722	1638
306	724	1635
307	726	1631
308	728	1628
309	730	1625
310	732	1623
311	734	1619
312	736	1616
313	738	1613
314	740	1610
315	742	1606
316	744	1603
317	746	1600
318	748	1597
319	750	1594
320	752	1590
321	753	1587
322	756	1584
